SampleID,Q-001使用している,Q-002使用中のブランド(V),Q3_好きなところ(FA),Q4_嫌いなところ(FA),Q5_他に使用してみたいブランドの有無(V),Q5_2_他に使用してみたいブランド(V),Q6_理由(FA),Q7_年代(V),Q8_婚姻(V),Q9_ファンデーションのタイプ(V),Q10_購入場所(V),Q11_感じていること・要望など(FA)
30,1,マックスファクター（メーカー）,きれいにつく,ない,ある,SK-Ⅱ,よさそう,30-34歳,既婚（子供あり）,パウダリータイプ,デパート,服につくからいや
31,1,ルティーナ,のりがよい,なし,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,大型スーパー,なし
32,1,その他,時間が経つほどに肌にしっとりとなじんでくるところ,ソバカスをカバーしてくれない,ある,レイシャス,素肌っぽい仕上がりが期待できそうだから,25-29歳,既婚（子供なし）,クリームタイプ,ブランド専門のインターネット通信販売,崩れにくいけれども、自然な仕上がりになるものを望んでいます。
33,1,クリニーク,リキッドのようだが、つけたとたんパウダーのような感じになる,肌の調子が悪いとムラになる。,ない,,,25-29歳,既婚（子供なし）,クリームタイプ,デパート,つけるのはリキッドタイプのほうがよくなじむが、化粧直しが面倒になる気がする。めがねをかけているので、鼻の周辺がよくにじむ
34,1,その他,乾燥しない,しっかり付く,ない,,,30-34歳,未婚,パウダリータイプ,化粧品専門店,もっとしっとりするものが欲しい
35,1,その他,さらっとしているところ。,色の種類が少ない。,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,インターネット以外の通信販売,肌に負担のかからないものがいいと考えている。
36,1,ランコム,テカりにくくて長時間キープが可能！！,値段が国産よりも高い！！,ある,SK-Ⅱ,価格の割りに良いと友人の間で好評なので‥,25-29歳,既婚（子供なし）,パウダリータイプ,デパート,外国産の化粧品の価格はもっと安くならないの？！
37,1,ホワイティア,色味が自分にあってる,とくにない,ない,,,20-24歳,未婚,パウダリータイプ,ドラッグストア,もっと色々選べるといい
38,1,その他,手頃なところ,特なし,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,色の数が少なすぎる
39,1,レイシャス,固形のファンデーションじゃなく、粉のファンデーションなところ,ない,ない,,,35-39歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,特に無い
40,1,その他,カバー力があって、色のバリエーションが良いところ。,特になし。,ない,,,35-39歳,未婚,パウダリータイプ,ディスカウント系のインターネット通信販売,もっと量がたくさん入っていると、たびたび購入しなくて済むと思います。
41,1,エリクシール,自然な感じに見える,価格が高い,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,顔の色に合うファンデーションがなかなか見つからない
42,1,その他,安いところ。安い割には使いやすい。,防腐剤がはいっている。,ある,その他,防腐剤無添加,30-34歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,高すぎる
43,1,その他,化粧水、下地クリーム、ファンデーションの3つの機能を持っていて、化粧の手間が軽減されるところ。また、クリームタイプなので、パウダータイプよりも付けやすい。,臭いがあまり好きではない。（化学的なにおいがする）,ない,,,25-29歳,未婚,クリームタイプ,ディスカウント系のインターネット通信販売,崩れにくく、あまり化学的な臭いのしないファンデーションが欲しい。
44,1,オルビス,自然なつけごこち,とくになし,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,その他,とくになし
45,1,資生堂（メーカー）,なし,なし,ない,,,40-49歳,未婚,パウダリータイプ,デパート,なし
46,1,その他,なし,なし,ある,オルビス,安いから！,25-29歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,光沢のあるファンデーションがほしい。
47,1,SK-Ⅱ,のびがいい,ない,ない,,,35-39歳,既婚（子供なし）,リキッドタイプ,デパート,なし
48,1,その他,付け心地が良い,特に感じない,ある,マキアージュ,新商品だから,30-34歳,既婚（子供なし）,リキッドタイプ,ディスカウント系のインターネット通信販売,特にない
49,1,プラウディア,とくにない,とくにない,ない,,,35-39歳,未婚,リキッドタイプ,ドラッグストア,面倒であるが肌を守るためには必要だ
50,1,エリクシール,しっとりしていて、適度なカバー力がある,時間がたつと少し乾燥する,ある,SK-Ⅱ,雑誌などで評判がいいから,40-49歳,既婚（子供なし）,パウダリータイプ,ディスカウント系のインターネット通信販売,色味を選ぶのは本当に難しい。自分の肌色は黄色が強いのだが同じ色を選ぶと、年齢とともに余計くすみが強く見えるような気がする
51,1,SK-Ⅱ,何となく,なし,ない,,,25-29歳,既婚（子供あり）,リキッドタイプ,デパート,なし
52,1,その他,カバー力がある,夏場は使いにくい。,ある,SK-Ⅱ,ＣＭで見てよさそうだから,30-34歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,もっと自然に見えたらいい。服などにつかないものがいい。
53,1,UVホワイト,ノリが良くてヨレない。美白効果。,値段が高い・・・,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,粉が入っている部分の形が角々してなかったら最後までキレイに使えるのに、と思う。無理なんだろうけど。
54,1,その他,薄付きでカバー力がある。,特になし。,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,自分の肌に合う色がなかなか見つからない。
55,1,その他,値段が安い,特になし,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,ディスカウント系のインターネット通信販売,ケースがかわいいのがいいです
56,1,その他,保湿効果,特になし,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,ブランド専門のインターネット通信販売,もっと安価なら良い
57,1,アスプリール,色合いが良い,なし,ない,,,30-34歳,未婚,パウダリータイプ,大型スーパー,なし
58,1,エクスボーテ,すばやくのびて化粧崩れが少ない。,ドラッグストアで売ってない,ある,SK-Ⅱ,試してみたい,40-49歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,夏、テカらないようにするのは難しい。
59,1,その他,生協であつかってるので安心できる,とくになし,ある,プラウディア,以前、試供品をもらってよいなと思った,35-39歳,既婚（子供なし）,パウダリータイプ,その他,薄くぬるだけでいいものがほしい
60,1,その他,化粧崩れがしない点がいいです。,特にありません。,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,特にありません。
61,1,レヴュー,しっとりする。薄く付くのに、きれいに仕上がる。,特になし,ない,,,20-24歳,未婚,パウダリータイプ,ドラッグストア,特にない
62,1,ルティーナ,敏感肌だけれど、このファンデーションにしてから肌荒れしなくなった。,持ちが悪い気がする。,ある,マックスファクター（メーカー）,毛穴もしっかり隠せそうだから。,25-29歳,未婚,リキッドタイプ,ディスカウント系のインターネット通信販売,一年中使えるようなのがあればいいと思う。
63,1,アテニア,皮膚トラブルがない,なし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,消費期限を知りたい
64,1,エクスボーテ,化粧崩れしなくてシミが隠れて肌のキメが細かくみえるところ,値段が高い,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,ディスカウント系のインターネット通信販売,今使ってるファンデーションがとても気に入ってる。ネットでも買えるのが嬉しい♪
65,1,コーセー（メーカー）,特になし,特になし,ない,,,30-34歳,未婚,リキッドタイプ,ドラッグストア,どれも使っても一緒かなと思う。下手すると肌がかぶれることもあるし
66,1,セルフィット,安い、つきがよい。,とくになし,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,大型スーパー,化粧おとしが面倒なので、クレンジングのいらないファンデーションが欲しいな。
67,1,レヴュー,無香料なのが良い,とくにない,ある,マキアージュ,なんとなく,25-29歳,未婚,パウダリータイプ,大型スーパー,とくになし
68,1,その他,粒子が細かくてカバー力があり、自然な感じに仕上がる。,価格が高いところと、近くで売ってないところ。,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ディスカウント系のインターネット通信販売,素肌のようにみえてしっかりカバーできるようなものが安くてあればよいと思う。
69,1,その他,自然な仕上がりが気に入っている。,カバー力はあまりない。,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,化粧くずれしにくいものが欲しい。
70,1,その他,無香料、無添加,特にない,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,その他,肌に直接つけるものなので、皮膚の代謝を極力阻害しないものが望ましい。
71,1,ちふれ,無香料、肌に優しい,少々落ちやすい,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,大型スーパー,肌に悪影響が出ないことが条件です。
72,1,ファンケル,自然な仕上がり,とくになし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,とくになし
73,1,その他,きめが細かく肌が明るくなる。,別にありません。,ない,,,40-49歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,くずれの少ないものがいいですね。また、使うだけでお肌に栄養をおくりスキンケアになるというものがあればいいと思います。
74,1,プラウディア,肌に良くなじむ,特にない,ない,,,25-29歳,未婚,パウダリータイプ,ドラッグストア,自分に合ったものを探すのはむずかしい
75,1,ドクターシーラボ,つけた感じがいい。無添加,通販でしか買えない。割引が無い,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,いろいろあるので試して見なければわからないのに通販化粧品だと試せないし普通の化粧品だと無添加は少ない。
76,1,その他,自然っぽいところが好き。,ケースが安っぽい。,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,もっと簡単に使用できる物がよい。
77,1,レイシャス,隠したいところは隠してくれるけど、素肌っぽく仕上がるところ,ちょっと乾燥しすぎるところ,ない,,,35-39歳,未婚,リキッドタイプ,デパート,簡単ステップでいて、高機能なものがあればいい
78,1,その他,特にありません。,特にありません。,ない,,,19歳以下,未婚,リキッドタイプ,バラエティショップ,特にありません。
79,1,マックスファクター（メーカー）,うすづき,カバー力,ない,,,30-34歳,未婚,パウダリータイプ,大型スーパー,崩れのないファンデーションに出会いたい
80,1,ランコム,のびがいい,値段高い,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,デパート,つけ直ししなくてもテカらない物がいい
81,1,プラウディア,簡単、手軽に使用できる,ぱさつくことがある,ない,,,40-49歳,未婚,パウダリータイプ,化粧品専門店,手軽に使えて、しっとり透明感があり、くすみをカバーできるファンデーションがほしい
82,1,ホワイティア,安価,肌に密着しない,ある,その他,化粧のりがよさそう,40-49歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,もちのよいファンデーションがほしい
83,1,オルビス,値段が安い,特に無い,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,特に無い
84,1,その他,敏感肌でも使用できるので,今のところ特になし,ある,プラウディア,CMで肌がとても自然な感じに仕上がっているので,50-59歳,既婚（子供あり）,リキッドタイプ,その他,なかなか自分に合うファンディーションがないように感じています
85,1,その他,伸びがよく肌にきれいにフィットする,高い,ある,SK-Ⅱ,きれいにつきそうだから,35-39歳,既婚（子供あり）,クリームタイプ,デパート,むらを防ぐのが難しい
86,1,その他,カバー力がある。,価格が高い,ない,,,40-49歳,未婚,パウダリータイプ,その他,すぐ落ちてしまう
87,1,オルビス,安い,特にない,ある,その他,菅野美穂のCMが印象的,30-34歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,クーラーで乾燥するとムラになる
88,1,ファインフィット,のびが良くて使いやすいから好き,自分にぴったりな色がない,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,2色買って、自分に合う色を作りたいので、もっと価格を安くして欲しい！
89,1,その他,２色使いが斬新でハイライトが自然につけられる。,粉っぽいと感じることがある。,ある,その他,冬に向けて、リキッド系のマットな感じのものを使ってみたいと思っているので。,35-39歳,既婚（子供あり）,パウダリータイプ,デパート,夏の汗をかく時期にはなるべくつけたくないと思うのだが、そうもいかないのでうす付きのものをと思っているが、そうするとカバー力が足りないし、リキッドのものは汗を拭く時にベタッとするので嫌だ。夏用のよいものを開発して欲しい。
90,1,その他,色がいい,もう少し種類があればいい,ない,,,40-49歳,既婚（子供あり）,クリームタイプ,ブランド専門のインターネット通信販売,特になし
91,1,その他,もらった,なし,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,大型スーパー,乾燥
92,1,マキアージュ,肌がなめらかになる,ない,ない,,,25-29歳,未婚,クリームタイプ,化粧品専門店,素肌っぽいのにカバー力があるファンデーションがいい！！
93,1,その他,カバー力がある。ドクターズコスメなので成分に安心感がある。エステサロン専売品なのでグレードが高い。,色が少ない。,ある,その他,崩れにくさを試してみたい,30-34歳,既婚（子供なし）,リキッドタイプ,その他,色が豊富だといいなと思います。
94,1,ファンケル,別に無し,粉っぽい,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,べつになし
95,1,その他,薄付きでカバーができるところ。色が肌に合っている。香りがいい。肌が乾燥しない。,なし。,ない,,,20-24歳,未婚,クリームタイプ,デパート,なし。
96,1,その他,肌によくトラブルがない,ない,ない,,,25-29歳,未婚,リキッドタイプ,化粧品専門店,カバー力はよくても毛穴に詰まるタイプは困る
97,1,その他,化粧崩れしない,とくになし,ない,,,30-34歳,未婚,パウダリータイプ,ドラッグストア,合う色がなかなかない
98,1,ファインフィット,付きがいいところ。,透明感が今ひとつ悪い。,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,一日中つけている物なので、肌に負担のかからない物が良い。
99,1,その他,アトピーの人が使ってかゆくならない、赤くならないこと。,アトピーでも使えるということだけなので、カバー力がない。,ある,クレ・ド・ポー・ボーテ,年齢的に、よいファンデーションを使ってみたいので。,35-39歳,未婚,リキッドタイプ,ドラッグストア,毛穴が気になる。ほんとにカバーしてくれるファンデーションがほしい。
100,1,セザンヌ,価格が安い割には良い。,特にない,ない,,,35-39歳,未婚,パウダリータイプ,ドラッグストア,特にない
101,1,UVホワイト,肌の色に合っている、つきがいいので長く使っている。,なし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ディスカウント系のインターネット通信販売,値段が高い。安いものは肌にあわない。
102,1,その他,ナチュラルな仕上がりで、使い易いリキッドタイプ。,売り場が限られており、安売りなどがない事。,ある,資生堂（メーカー）,友人が使っていて良さそうだったので。,35-39歳,未婚,リキッドタイプ,デパート,色々なメーカーから出ていますが、どれも価格が高く、試供品なども少ないです。先ずは試供品から。気軽に入手できる方法があるといいですね。
103,1,その他,オイルフリー、無香な点。伸びがよく、カバー力もあるところ。値段が手ごろなところ。インターネットでいつでも購入手配ができるところ。,リキッドタイプなので、パフを使うのは面倒だし、手でのばすと手が汚れるところ。,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,その他,夏の日中、外出の支度をする際に、汗をかいてしまっているので化粧をしないで出ることがあります。汗をかいているとき、暑い時に使ってもムラなくぬれるようなものがあるといいと思っています。
104,1,その他,サラサラ感があり、つけていないようで、とても軽く快適。,たくさん出すぎることが多々あり、もったいない。,ある,その他,豪華でリッチなイメージがするから。,50-59歳,未婚,その他,ブランド専門のインターネット通信販売,安価で多種多様な肌に応対できるファンデーション。数種類になる時は自分で判断しやすい説明を添えたもの。
105,1,その他,くずれにくい,ぴったり合う色がない,ある,その他,カバー力が高そう,40-49歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,ファンデーション無しで外出することは裸で外に出るようなものだと感じる。
106,1,マキアージュ,使いやすい。つきがいい,とくになし,ある,その他,化粧水や乳液を使っているがよかったから。,40-49歳,既婚（子供あり）,パウダリータイプ,大型スーパー,のびがよく、持ちがいいものが良い。
107,1,セザンヌ,安い・色が自然,毛穴が目立つ,ある,その他,肌によさそう,30-34歳,未婚,パウダリータイプ,ドラッグストア,値段を安くして、旧指定成分を入れないで欲しい
108,1,メディア,安い割には保湿効果が高いので,特になし,ある,エリクシール,以前使った時に結構気に入っていたので,30-34歳,既婚（子供あり）,クリームタイプ,ドラッグストア,特になし
109,1,その他,きれいに伸びて付けられることと，自然な仕上がりと，汗をかいてもそれほど落ちないで長持ちすること。,特にないが，美容院でしか買えないのが，ちょっと残念。,ない,,,50-59歳,既婚（子供あり）,パウダリータイプ,その他,今使っているファンデーションはにおいがないからいいのだけれど，一般にお店で売られているものはけっこうにおいがきついので嫌だ。においのないもので，安全なものを作って欲しい。
110,1,メイベリン,安くて、肌のつきがいい,特になし,ある,プラウディア,きれいにつきそうだから,40-49歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,特になし
111,1,その他,肌によくなじむ,とくにありません。,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,ブランド専門のインターネット通信販売,特にありません。
112,1,その他,伸びがよい、無添加,特になし,ない,,,30-34歳,未婚,リキッドタイプ,ブランド専門のインターネット通信販売,素肌感覚で使えるものがいい
113,1,その他,メーカー,なし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,無くてはならない物
114,1,メディア,安いが、色合いが気に入っている,肌がかさ付く時は、なじみにくい,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,特になし
115,1,その他,肌に優しい。ノンケミカルで敏感肌用であること,ない,ある,マキアージュ,新しいブランドだから。でも資生堂は刺激が強いので、ちょっと躊躇している,35-39歳,未婚,リキッドタイプ,ドラッグストア,ＣＭは過剰表現しすぎている。
116,1,プラウディア,肌にやさしい,特になし,ない,,,60歳以上,既婚（子供あり）,パウダリータイプ,大型スーパー,値段を安くして欲しい
117,1,その他,透明感がでるところ、自然な感じになる。肌になじみやすい,化粧崩れをしてしまう,ない,,,25-29歳,未婚,リキッドタイプ,デパート,肌になじむ透明感が出るファンデーションがよい。一度塗れば化粧直しをしなくてもよい商品がでるとよい。あと、美白効果がほしい。
118,1,アテニア,特になし,特になし,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,とくになし
119,1,その他,赤ちゃんがなめても安全,カバー力があまりない,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,とくにない
120,1,ルティーナ,肌に合う。,特にない。,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,もう少し値段を下げてほしい。
121,1,その他,界面活性剤、鉱物油不使用のところ,特にない,ない,,,30-34歳,既婚（子供なし）,リキッドタイプ,化粧品専門店,鉱物油や界面活性剤を使ってないものが増えて欲しい
122,1,ファンケル,無添加なこと,粉っぽい,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,価格が高い
123,1,その他,ベト着かないこと,ちょっと金額が高いところ,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,デパート,特になし
124,1,UVホワイト,オールシーズン使えて、化粧崩れしにくい,てかりやすい,ない,,,25-29歳,未婚,パウダリータイプ,大型スーパー,ＵＶカットの強いファンデーションがもっと出てほしい
125,1,その他,つややかで滑らかな肌に仕上がるところ時間がたっても皺になりにくい,高い容器から出しにくい,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,デパート,セルフコスメでも自由に顔にファンデが試せたら買いやすいと思う
126,1,プラウディア,特にない,特にない,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,たまたま使い始めたのがプラウディアだっただけで、他の商品との差とか全く分からない
127,1,その他,自分にあっている。,ときどきうく。,ない,,,20-24歳,未婚,パウダリータイプ,化粧品専門店,そばかすをもっとちゃんと隠せればいいと思う。
128,1,その他,赤ちゃんに頬ずりしても大丈夫なところと厚塗りにならないところ,すぐになくなるところ,ある,マキアージュ,宣伝を見て,30-34歳,既婚（子供あり）,その他,その他,朝から晩までつけていると気持ち悪くなる。
129,1,レヴュー,毛穴が目立たない,少しかさかさする,ある,プラウディア,前に使っていてよかったから,30-34歳,既婚（子供あり）,パウダリータイプ,デパート,特になし
130,1,プラウディア,新しい機能や効果が盛り込まれている。色や使用感が自分に合う。,新製品の出るサイクルが早いので、つい、使い切らないうちに新しいものを買ってしまってもったいない。使用頻度に応じて、使い切れる容量のタイプがいくつかあると良い。,ある,クリスチャンディオール,高級なイメージがあるから。性能が良さそう。,25-29歳,未婚,パウダリータイプ,デパート,赤ちゃんの素肌のようにきれいに見せるファンデーションが欲しい。
131,1,その他,自然体,ありません,ない,,,50-59歳,既婚（子供あり）,クリームタイプ,ブランド専門のインターネット通信販売,別にありません
132,1,RMK,肌の色と合う。,特に無し。,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,デパート,美肌に改善してくれるファンデがあったら…と思います。
133,1,その他,カバー力がある,ない,ない,,,50-59歳,既婚（子供あり）,クリームタイプ,デパート,気持ちよく使えてよい。
134,1,プラウディア,肌付きがいい,なし,ある,DHC,通販なので購入しやすい。,35-39歳,既婚（子供あり）,パウダリータイプ,大型スーパー,汗による崩れが少ない物。
135,1,エリクシール,カバー力があって付け心地が良い,仕方が無いけれど時間がたつとべたつく,ある,マキアージュ,新製品だから。(でもプラウディアと変わらないのでしょうか?),30-34歳,未婚,リキッドタイプ,デパート,長時間たっても化粧崩れがしないものが良いのですがなかなか出会えません。あとはしわが目立ってしまう物が有るのでちょっといやです。
136,1,ドクターシーラボ,肌に優しいところ,別になし,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,ブランド専門のインターネット通信販売,ファンデーションより軽くて、素肌がきれいに見えるるもの
137,1,その他,乾燥をふせぐ,ネット販売なので、色が合わないときがある,ない,,,25-29歳,既婚（子供なし）,パウダリータイプ,インターネット以外の通信販売,自分の肌に合うものや、色を探すのは難しい
